date,ETSAAN_mean,ETSAAN_lower,ETSAAN_upper,ARIMA_mean,ARIMA_lower,ARIMA_upper,SARIMA-ARweekly_mean,SARIMA-ARweekly_lower,SARIMA-ARweekly_upper,GP-RBF_mean,GP-RBF_lower,GP-RBF_upper,GP-Periodic_mean,GP-Periodic_lower,GP-Periodic_upper,GP-Matern32_mean,GP-Matern32_lower,GP-Matern32_upper
2026-06-03,2283.7665708577165,912.9192896306145,5710.8372951935435,2138.7934664771815,972.6712956058817,4701.527536594639,2193.903139064928,984.6628628829033,4886.675057358234,2079.9031816586253,1119.2967187709232,3864.1885512863123,557.8578410365909,308.44127803996986,1008.3097096365325,2140.113531605938,1144.154080336773,4002.2753966853593
2026-06-04,2296.9881819635857,918.2080073419876,5743.890865033147,2117.5780791062907,694.729991834009,6450.314633480047,2252.2708316250782,725.2895112991908,6989.6412823864075,2078.9399748256437,1115.0886713094833,3875.1707829198895,548.2240950256203,303.10639785899053,990.9130563526674,2136.515481017914,1136.7382196290619,4014.838048475577
2026-06-05,2310.2863046056705,923.527330091844,5777.135711063349,2185.705518524334,558.1123558012044,8551.27214196091,2312.0469608724434,577.0600555429002,9254.415924175004,2078.044853834718,1110.5762793367992,3887.556804068826,558.0976741793085,308.57341690931736,1008.7449981122845,2132.441551961619,1128.539054237863,4028.5843145569643
2026-06-06,2323.6613815450805,928.8774349870812,5810.5729401715835,2250.583791493281,465.1966336971279,10873.44482365959,2333.752009879051,469.8329263244493,11576.497330503087,2077.2063097118667,1105.7392093046426,3901.402146247059,581.9604166721479,321.78694711904694,1051.8394981263816,2127.9090061528814,1119.5843528690054,4043.5447456722272
2026-06-07,2337.113858105118,934.2585001594882,5844.203665650689,2288.3676021639435,392.6142991456308,13314.583374928981,2304.8944975487566,383.9353028596361,13812.098965787736,2076.412069831028,1100.5580065151323,3916.760918948349,572.334273719522,316.4673523348481,1034.4204519108573,2122.9349671841837,1109.9067094705247,4059.7367894804947
2026-06-08,2350.644182186103,939.6707047716747,5878.029007235939,2286.433685875187,331.4468702838057,15737.914500262106,2282.5315396242418,320.3300620900661,16226.913001794006,2075.6491367714534,1095.0143266129685,3933.6854621695775,556.0792322911316,307.4670606196684,1005.0629177930734,2117.536396845327,1099.5428571890684,4077.1660027505213
2026-06-09,2364.2528042802924,945.1142290230401,5912.050091142382,2254.9886576852723,279.9293681024099,18115.59940711246,2286.396669441332,274.0731740854347,19020.060635110272,2074.9038297370894,1089.0911611171819,3952.2259906599397,564.6750900979382,312.22629985142345,1020.5882501216998,2111.7300732584213,1088.5329660406821,4095.8272659717413
2026-06-10,2377.9401774868784,950.5892541557722,5946.268050102299,2234.889840170423,240.12536880012385,20731.79722599953,2314.571643961171,239.57526766653285,22286.71099508558,2074.1618285529203,1082.7730527064732,3972.430234244261,557.8578410366633,308.44127804001,1008.3097096366633,2105.532570769504,1076.9199418060032,4115.705981223425
2026-06-11,2391.7067575270644,956.0959624608779,5980.684023402925,2230.9050022429974,209.2796449098804,23688.406272167686,2318.729907477415,209.07604102408786,25614.233500274124,2073.4082202411305,1076.0462960231887,3994.3430786519552,548.2240950255871,303.1063978589719,990.9130563526084,2098.9602415373097,1064.7487421371347,4136.779236027474
2026-06-12,2405.5530027592536,961.6345372842582,6015.299156924387,2242.075662060278,184.98292199316705,27051.95933522329,2322.593489307246,183.7895578206773,29216.488083338456,2072.627548166463,1068.8991199628847,4018.0062112248715,558.097674179372,308.57341690935255,1008.7449981123993,2092.0291987572255,1052.0657237261844,4159.016918364148
