model,params,AIC,BIC,WAIC,forecast_mean_60d,forecast_sum_60d
"ETS(A,A,N)","{""alpha"": 0.4, ""beta"": 0.1}",2060.0647601733144,2081.469393079037,,2721.2857782418896,163277.1466945134
ARIMA,"{""d"": 1, ""lags"": [1, 2, 3, 4, 5, 6, 7]}",1590.6007973104806,1638.7206937790695,,2349.415290330388,140964.91741982326
SARIMA-AR(weekly),"{""d"": 1, ""lags"": [1, 2, 3, 4, 5, 7, 14]}",1634.7958252608748,1682.8750108361373,,2416.7250011306905,145003.50006784144
GP-RBF,"{""length"": 60.0, ""amplitude"": 1.0, ""noise"": 0.3}",315.5858460299287,328.2296703251953,2075.336900884795,1972.2349814618103,118334.09888770862
GP-Periodic,"{""length"": 2.0, ""amplitude"": 0.5, ""noise"": 0.3}",1208.8702734515716,1221.5140977468382,9622.247284144478,562.6661501848764,33759.96901109259
GP-Matern32,"{""length"": 120.0, ""amplitude"": 1.0, ""noise"": 0.3}",287.41036688477703,300.05419118004363,1994.4979742946764,1879.6070652081676,112776.42391249005
